time,prey,predator,prey_noisy,predator_noisy
48.648649,0.000281,0.948877,0.100000,1.070881
48.748749,0.000303,0.911637,0.100000,0.720861
48.848849,0.000326,0.875859,0.100000,0.921485
48.948949,0.000352,0.841485,0.116696,0.866321
49.049049,0.000380,0.808461,0.190089,0.722828
49.149149,0.000411,0.776732,0.100000,0.773580
49.249249,0.000445,0.746250,0.100000,0.659749
49.349349,0.000482,0.716963,0.100000,0.568053
49.449449,0.000524,0.688827,0.100000,0.639693
49.549550,0.000569,0.661794,0.164103,0.508398
49.649650,0.000619,0.635823,0.100000,0.680675
49.749750,0.000674,0.610872,0.100000,0.451070
49.849850,0.000735,0.586900,0.100000,0.685828
49.949950,0.000801,0.563869,0.100000,0.399705
50.050050,0.000875,0.541742,0.239279,0.463057
50.150150,0.000956,0.520484,0.157435,0.433697
50.250250,0.001046,0.500061,0.100000,0.684187
50.350350,0.001145,0.480439,0.100000,0.526332
50.450450,0.001255,0.461588,0.100000,0.432168
50.550551,0.001376,0.443477,0.100000,0.512773
50.650651,0.001509,0.426077,0.424599,0.133287
50.750751,0.001657,0.409360,0.100000,0.403367
50.850851,0.001820,0.393300,0.100000,0.670850
50.950951,0.002001,0.377871,0.100000,0.396260
51.051051,0.002201,0.363047,0.100000,0.372484
51.151151,0.002423,0.348806,0.100000,0.424967
51.251251,0.002668,0.335124,0.100000,0.459567
51.351351,0.002939,0.321980,0.100000,0.100000
51.451451,0.003240,0.309352,0.141474,0.100000
51.551552,0.003574,0.297221,0.100000,0.326440
51.651652,0.003944,0.285566,0.120767,0.186235
51.751752,0.004354,0.274369,0.100000,0.456672
51.851852,0.004808,0.263612,0.161747,0.219819
51.951952,0.005313,0.253279,0.290052,0.100000
52.052052,0.005872,0.243351,0.100000,0.100000
52.152152,0.006494,0.233814,0.100000,0.100000
52.252252,0.007183,0.224653,0.240679,0.192122
52.352352,0.007949,0.215852,0.100000,0.189676
52.452452,0.008800,0.207397,0.254188,0.148419
52.552553,0.009744,0.199275,0.100000,0.349183
52.652653,0.010794,0.191474,0.265136,0.358005
52.752753,0.011960,0.183979,0.100000,0.160304
52.852853,0.013256,0.176781,0.100000,0.100000
52.952953,0.014697,0.169866,0.288210,0.255636
53.053053,0.016298,0.163224,0.100000,0.240390
53.153153,0.018079,0.156845,0.100000,0.199834
53.253253,0.020060,0.150718,0.100000,0.287092
53.353353,0.022263,0.144833,0.101331,0.100000
53.453453,0.024713,0.139181,0.100000,0.418293
53.553554,0.027439,0.133753,0.138870,0.100000
53.653654,0.030473,0.128541,0.100000,0.232643
53.753754,0.033849,0.123535,0.234487,0.100000
53.853854,0.037606,0.118729,0.100000,0.100000
53.953954,0.041788,0.114114,0.100000,0.324810
54.054054,0.046444,0.109684,0.100000,0.100000
54.154154,0.051627,0.105430,0.100000,0.222136
54.254254,0.057398,0.101348,0.100691,0.134272
54.354354,0.063825,0.097429,0.100000,0.100000
54.454454,0.070982,0.093668,0.100000,0.283172
54.554555,0.078954,0.090059,0.100000,0.100000
54.654655,0.087833,0.086597,0.123386,0.100000
54.754755,0.097724,0.083275,0.100000,0.100000
54.854855,0.108743,0.080089,0.232301,0.156676
54.954955,0.121020,0.077034,0.236854,0.131989
55.055055,0.134699,0.074105,0.202003,0.100000
55.155155,0.149940,0.071298,0.247223,0.100000
55.255255,0.166926,0.068608,0.218740,0.100000
